section,section_description,item_name,price,description,item_id,image_url
Subs,,Buffalo Chicken,Small $11.75 | Large $13.75,"Spicy grilled chicken, blue cheese dressing, mozzarella cheese and a touch of romano.",6504004,https://static.spotapps.co/spots/ce/2983ac34e444438c0a0c389ec151d1/full
Subs,,Steak and Cheese,Small $11.75 | Large $13.75,,6736046,
Subs,,Chicken Broccoli Mozzarella,Small $11.75 | Large $13.75,,6736049,
Subs,,Steak and Onion,Small $11.75 | Large $13.75,,6736051,
Subs,,Chicken Cutlet,Small $11.75 | Large $13.75,,6736053,
Subs,,Steak and Pepper,Small $11.75 | Large $13.75,,6736056,
Subs,,Grilled Chicken,Small $11.75 | Large $13.75,,6736058,
Subs,,Italian,$13.75/Large,,6736062,
Subs,,Steak and Mushroom,Small $11.75 | Large $13.75,,6736063,
Subs,,Chicken Parmesan,Small $11.75 | Large $13.75,,6736067,
Subs,,Steak Combo,Small $12.50 | Large $14.50,,6736070,
Subs,,Meatball Parm,Small $11.75 | Large $13.75,,6736071,
Subs,,Pastrami,Small $11.75 | Large $13.75,,6736075,
Subs,,Steak Tip,Small $11.75 | Large $13.75,,6736077,
Subs,,Tuna,Small $11.75 | Large $13.75,,6736078,
Subs,,Ham and Cheese,Small $11.75 | Large $13.75,,6736082,
Subs,,Turkey,Small $11.75 | Large $13.75,,6736083,
Subs,,BLT,Small $11.75 | Large $13.75,,6736086,
Subs,,Grilled Veggie,Small $11.75 | Large $13.75,,6736088,
Subs,,Cold Veggie,Small $11.75 | Large $13.75,,6736090,
Subs,,Chicken Salad,Small $11.75 | Large $13.75,,6736093,
Subs,,Fish,Small $11.75 | Large $13.75,,6736096,
Subs,,Turkey BLT,Small $11.75 | Large $13.75,,6736098,
Subs,,Eggplant Parm,Small $11.75 | Large $13.75,,6736099,
Panini,,Southwestern Chicken Panini,$13.50,,6735962,
Panini,,Southwest Beef Panini,$14.50,,6735963,
Panini,,BBQ Chicken Panini,$13.50,,6735966,
Panini,,Buffalo Chicken Panini,$13.50,,6735968,
Panini,,Spicy Avocado Chicken Panini,$13.50,,6735971,
Panini,,Turkey BLT Panini,$13.50,,6735974,
Panini,,Cajun Chicken Panini,$13.50,,6735976,
Panini,,Pesto Chicken Panini,$13.50,,6735980,https://static.spotapps.co/spots/70/4cdb80fdab416d96fec52beef3c11c/full
Panini,,Turkey Tuscana Panini,$13.50,,6735982,
Panini,,Tuna Panini,$13.00,,6735984,
Panini,,Chicken Caprese Panini,$13.50,,6735986,
Panini,,Veggie Panini,$13.50,,6735988,
Salads,,Greek Salad,$12.00,Garden salad topped with feta cheese.,6504308,
Salads,,Garden Salad,$11.00,,6735942,https://static.spotapps.co/spots/a3/f3adba91914c18842521d4e43b3069/full
Salads,,Caesar Salad,$12.00,,6735944,
Salads,,Chef's Salad,$14.00,,6735945,
Salads,,Caprese Salad,$12.00,,6735948,
Burgers & Sandwiches Plates,Our 1/2 pound burgers are made fresh daily in store. Served with French fries and onion rings.,Classic,$13.00,"1/2 pound hamburger with lettuce, tomatoes, and American cheese.",6504340,
Burgers & Sandwiches Plates,Our 1/2 pound burgers are made fresh daily in store. Served with French fries and onion rings.,Mushroom & Onion Burger,$14.00,"Lettuce, tomatoes, and mayo.",6504369,
Burgers & Sandwiches Plates,Our 1/2 pound burgers are made fresh daily in store. Served with French fries and onion rings.,"Bacon, Chicken Ranch Sandwich",$14.00,"Topped with ranch dressing, lettuce, and tomatoes.",6504342,https://static.spotapps.co/spots/eb/9ad38acd8a408ab9428c8da6bb2900/full
Burgers & Sandwiches Plates,Our 1/2 pound burgers are made fresh daily in store. Served with French fries and onion rings.,Bacon Cheeseburger,$14.50,,6735810,
Burgers & Sandwiches Plates,Our 1/2 pound burgers are made fresh daily in store. Served with French fries and onion rings.,BBQ Bacon Cheeseburger,$14.50,,6735813,
Burgers & Sandwiches Plates,Our 1/2 pound burgers are made fresh daily in store. Served with French fries and onion rings.,Cowboy Burger,$14.50,,6735814,
Burgers & Sandwiches Plates,Our 1/2 pound burgers are made fresh daily in store. Served with French fries and onion rings.,Inferno Burger,$14.50,,6735815,
Burgers & Sandwiches Plates,Our 1/2 pound burgers are made fresh daily in store. Served with French fries and onion rings.,Southwestern Burger,$14.00,,6735817,
Burgers & Sandwiches Plates,Our 1/2 pound burgers are made fresh daily in store. Served with French fries and onion rings.,Monster Burger,$15.00,,6735819,
Burgers & Sandwiches Plates,Our 1/2 pound burgers are made fresh daily in store. Served with French fries and onion rings.,Fish Sandwich,$14.75,,6735820,
Burgers & Sandwiches Plates,Our 1/2 pound burgers are made fresh daily in store. Served with French fries and onion rings.,Grilled Chicken Sandwich,$13.00,,6735822,
Burgers & Sandwiches Plates,Our 1/2 pound burgers are made fresh daily in store. Served with French fries and onion rings.,Crispy Chicken Sandwich,$13.00,,6735823,
Burgers & Sandwiches Plates,Our 1/2 pound burgers are made fresh daily in store. Served with French fries and onion rings.,Southwestern Crispy Chicken Sandwich,$13.00,,6735825,
Burgers & Sandwiches Plates,Our 1/2 pound burgers are made fresh daily in store. Served with French fries and onion rings.,Chicken Shawarma Plate,$14.99,,6735826,
Entrées,,Chicken Kabob,$16.50,,6735852,
Entrées,,Steak Tip Dinner,$17.75,,6735853,
Entrées,,Grilled Veggie Medley,$14.50,,6735855,
Entrées,,Falafel Dinner,$16.00,,6735856,
Entrées,,Chicken Falafel Dinner,$17.00,,6735858,https://static.spotapps.co/spots/0f/5eb45d50a546c485b6423d7e1a8f8b/full
Entrées,,Fish and Chips,$17.00,,6735859,
Entrées,,5 Tender Dinner,$14.95,,6735861,
Entrées,,8 Tender Dinner,$16.95,,6735863,
Entrées,,8 Wing Dinner,$14.95,,6735864,
Entrées,,12 Wing Dinner,$16.95,,6735865,
Entrées,,Mixed Grilled Dinner,$17.50,,6735867,
Entrées,,Falafel Pocket,$14.00,,6735874,
Entrées,,Chicken Shawarma,$14.00,,6735876,
Entrées,,Steak Shawarma,$15.00,,6735878,
Specialty Pizzas,,Bacon Chicken Ranch,Medium $19.95 | Large $24.50 | Extra Large $32.00,,6735778,
Specialty Pizzas,,Bella Mia,Medium $19.95 | Large $24.50 | Extra Large $32.00,,6735780,
Specialty Pizzas,,Boston Supreme Meat,Medium $19.95 | Large $24.50 | Extra Large $32.00,,6735781,
Specialty Pizzas,,Boston Supreme Veggie,Medium $19.95 | Large $24.50 | Extra Large $32.00,,6735782,
Specialty Pizzas,,Bostonian,Medium $19.95 | Large $24.50 | Extra Large $32.00,,6735783,
Specialty Pizzas,,Buffalo Chicken,Medium $19.95 | Large $24.50 | Extra Large $32.00,,6735784,
Specialty Pizzas,,Chicken Parm,Medium $19.95 | Large $24.50 | Extra Large $32.00,,6735786,
Specialty Pizzas,,Chicken Pesto,Medium $19.95 | Large $24.50 | Extra Large $32.00,,6735788,
Specialty Pizzas,,Farmers,Medium $19.95 | Large $24.50 | Extra Large $32.00,,6735789,
Specialty Pizzas,,Fenway,Medium $19.95 | Large $24.50 | Extra Large $32.00,,6735792,
Specialty Pizzas,,Focaccia,Medium $19.95 | Large $24.50 | Extra Large $32.00,,6735794,
Specialty Pizzas,,Freshetta,Medium $19.95 | Large $24.50 | Extra Large $32.00,,6735796,
Specialty Pizzas,,Greek,Medium $19.95 | Large $24.50 | Extra Large $32.00,,6735797,
Specialty Pizzas,,Hawaiian,Medium $19.95 | Large — | Extra Large $32.00,,6735799,
Specialty Pizzas,,Hay Market,Medium $19.95 | Large — | Extra Large $32.00,,6735802,
Build Your Own Pizza,,Cheese,Medium $18.00 | Large $22.00 | Extra Large $28.00,,6735741,
Build Your Own Pizza,,Pizza - 1 Topping,Medium $20.00 | Large $23.00 | Extra Large $31.00,,6735743,
Build Your Own Pizza,,Pizza - 2 Topping,Medium $21.00 | Large $24.00 | Extra Large $32.00,,6735745,
Build Your Own Pizza,,Pizza - 3 Topping,Medium $22.00 | Large $25.00 | Extra Large $33.00,,6735746,
Wraps,Available on white or wheat tortillas.,Chicken Caesar Wrap,$13.50,,6735910,
Wraps,Available on white or wheat tortillas.,Buffalo Chicken Wrap,$13.50,,6735913,
Wraps,Available on white or wheat tortillas.,Chicken Hummus Wrap,$14.00,,6735914,
Wraps,Available on white or wheat tortillas.,Greek Chicken Wrap,$14.00,,6735916,https://static.spotapps.co/spots/5a/64f8e5fe614f7699cccbdfc44ac0a8/full
Wraps,Available on white or wheat tortillas.,Chicken Salad Wrap,$13.00,,6735918,
Wraps,Available on white or wheat tortillas.,Steak Tip Wrap,$14.00,,6735919,
Wraps,Available on white or wheat tortillas.,Turkey Wrap,$13.00,,6735923,
Wraps,Available on white or wheat tortillas.,Tuna Wrap,$13.00,,6735924,
Wraps,Available on white or wheat tortillas.,Ham and Cheese Wrap,$12.40,,6735926,
Wraps,Available on white or wheat tortillas.,Grilled Veggie Wrap,$14.00,,6735927,
Wraps,Available on white or wheat tortillas.,Falafel Wrap,$13.00,,6735928,
Wraps,Available on white or wheat tortillas.,Steak and Cheese Wrap,$13.75,,6735931,
Wraps,Available on white or wheat tortillas.,Turkey BLT Wrap,$13.75,,6735932,
Focaccia,,Veggie,$13.75,"With lettuce, tomatoes, black olives, roasted zucchini, red onions, and sun-dried tomatoes. Topped with feta cheese and Greek dressing.",6505543,
Focaccia,,Steak & Hummus,$13.75,With lettuce and tomatoes.,6505577,
Focaccia,,Tuna,$13.75,With black olives and red onions.,6505582,
Focaccia,,Bacon Chicken Ranch,$13.75,With lettuce and tomatoes.,6505585,
Focaccia,,Buffalo Chicken,$13.75,"With lettuce, tomatoes and bleu cheese.",6505590,
Calzones,,Pepperoni and Cheese Calzone,$16.95,,6735883,
Calzones,,Spinach Mozzarella and Ricotta Calzone,$17.95,,6735884,
Calzones,,Chicken Broccoli and Cheese Calzone,$17.95,,6735886,
Calzones,,Chicken Parm Calzone,$17.95,,6735888,
Calzones,,Ham and Cheese Calzone,$17.95,,6735889,
Calzones,,Steak and Cheese Calzone,$17.95,,6735891,
Calzones,,Steak Tips Calzone,$17.95,,6735892,
Calzones,,Buffalo Chicken Calzone,$17.95,,6735895,
Calzones,,Sausage Calzone,$17.95,,6735896,
Calzones,,Veggie Calzone,$17.95,,6735899,
Calzones,,Greek Calzone,$17.95,,6735901,
Calzones,,Italian Calzone,$19.95,,6735902,
Calzones,,Make Your Own Calzone,$14.00,,6735904,
Spaghetti,Choice of linguine or ziti. Served with homemade rolls.,Sauce and Melted Cheese,$11.95,,6736018,
Spaghetti,Choice of linguine or ziti. Served with homemade rolls.,Chicken Parmesan,$14.95,,6736019,
Spaghetti,Choice of linguine or ziti. Served with homemade rolls.,Grilled Chicken,$14.95,,6736021,
Spaghetti,Choice of linguine or ziti. Served with homemade rolls.,Meatballs,$14.95,,6736026,https://static.spotapps.co/spots/23/5d7ec4b71c4d828a923fab045ebd2f/full
Spaghetti,Choice of linguine or ziti. Served with homemade rolls.,Ravioli,$12.95,,6736028,
Spaghetti,Choice of linguine or ziti. Served with homemade rolls.,Eggplant Parmesan,$13.95,,6736030,
Spaghetti,Choice of linguine or ziti. Served with homemade rolls.,Chicken Eggplant Parm,$14.95,,6736033,
Spaghetti,Choice of linguine or ziti. Served with homemade rolls.,Meatball Ravioli,$14.95,,6736035,
Pockets,Store made bread products.,Falafel Pocket,$14.00,"With hummus, tahini sauce, lettuce.",6505854,
Pockets,Store made bread products.,Chicken Shawarma,$14.00,"Marinated chicken wrapped in a pocket, typically includes lettuce, tomatoes, onions, and garlic sauce.",6505865,
Pockets,Store made bread products.,Steak Shawarma,$15.00,"Beef steak marinated with Mediterranean spices, served with tomatoes, onions, pickles, and tzatziki sauce in a pocket.",6505868,
Side Orders,,French Fries,$5.75,,6735998,
Side Orders,,Onion Rings,$6.45,,6736000,
Side Orders,,Mozzarella Sticks,8pc $10.00 | 12pc $13.50,,6736003,
Side Orders,,Wing Ding,8pc $11.95 | 12pc $13.95,,6736004,
Side Orders,,Tenders,5pc $10.50 | 8pc $13.95,,6736005,
Side Orders,,Garlic Bread,$7.50,,6736008,
Side Orders,,Garlic Bread with Cheese,$8.50,,6736009,
Side Orders,,Side Dressing,$1.00,,6736012,
Side Orders,,Jalapeño Poppers,$10.00,,6736013,
Side Orders,,Fried Oreos,$7.99,,6736014,
